step,exact_match,f1,edit_distance
500,0.484,0.48614873390136554,0.499224006996317
1000,0.596,0.596,0.6045104081667527
2000,0.632,0.632,0.639022554633543
2500,0.634,0.634,0.641022554633543
3000,0.638,0.638,0.6449684455565423
3500,0.638,0.6382051282051282,0.6454266762722859
4000,0.642,0.642,0.6488303210486408
4500,0.642,0.642,0.6488303210486408
5000,0.642,0.642,0.6488303210486408
5500,0.642,0.642,0.6488303210486408
6000,0.64,0.64,0.6468503210486408
6500,0.642,0.642,0.6488303210486408
7000,0.642,0.642,0.6488303210486408
