step,loss
25,5.9394
50,5.8818
75,5.8175
100,5.7637
125,5.701
150,5.6423
175,5.591
200,5.529
225,5.4671
250,5.4146
275,5.3471
300,5.2967
325,5.2435
350,5.1977
375,5.1273
400,5.0829
425,5.0267
450,4.9804
475,4.9438
500,4.8765
525,4.8183
550,4.787
575,4.7346
600,4.6729
625,4.6161
650,4.5974
675,4.5265
700,4.4717
725,4.4256
750,4.3724
775,4.3468
800,4.2868
825,4.2752
850,4.2426
875,4.1722
900,4.1397
925,4.1014
950,4.0581
975,4.031
1000,3.983
1025,3.9208
1050,3.8883
1075,3.843
1100,3.805
1125,3.7292
1150,3.7382
1175,3.7149
1200,3.6771
1225,3.6044
1250,3.6066
1275,3.569
1300,3.4776
1325,3.4424
1350,3.4446
1375,3.3997
1400,3.3859
1425,3.3585
1450,3.318
1475,3.3001
1500,3.2215
1525,3.2249
1550,3.214
1575,3.1911
1600,3.1229
1625,3.1385
1650,3.0588
1675,3.0343
1700,3.0334
1725,2.9919
1750,2.9248
1775,2.9092
1800,2.9741
1825,2.8433
1850,2.8581
1875,2.8281
1900,2.8302
1925,2.7473
1950,2.7523
1975,2.7208
2000,2.6962
2025,2.6524
2050,2.6793
2075,2.6424
2100,2.6061
2125,2.6256
2150,2.6207
2175,2.5712
2200,2.5579
2225,2.4786
2250,2.532
2275,2.4737
2300,2.4275
2325,2.3603
2350,2.378
2375,2.3396
2400,2.3583
2425,2.4255
2450,2.3478
2475,2.3206
2500,2.2882
2525,2.2417
2550,2.2593
2575,2.1762
2600,2.2124
2625,2.1814
2650,2.1606
2675,2.1661
2700,2.1147
2725,2.0369
2750,2.1304
2775,2.0679
2800,1.98
2825,1.998
2850,2.0175
2875,1.9539
2900,2.1318
2925,2.0154
2950,2.0125
2975,1.9375
3000,1.9165
3025,1.9124
3050,1.9969
3075,1.9024
3100,1.8544
3125,1.9208
3150,1.8718
3175,1.8616
3200,1.9541
3225,1.8514
3250,1.8033
3275,1.7893
3300,1.7984
3325,1.7997
3350,1.7574
3375,1.7588
3400,1.7606
3425,1.7604
3450,1.6708
3475,1.7468
3500,1.7393
3525,1.6261
3550,1.6486
3575,1.6625
3600,1.6409
3625,1.6301
3650,1.6256
3675,1.5965
3700,1.5964
3725,1.5669
3750,1.6665
3775,1.5891
3800,1.6028
3825,1.5544
3850,1.6066
3875,1.5568
3900,1.5621
3925,1.5423
3950,1.5867
3975,1.5419
4000,1.4506
4025,1.424
4050,1.4687
4075,1.5043
4100,1.4446
4125,1.4408
4150,1.5084
4175,1.5045
4200,1.5068
4225,1.5137
4250,1.4324
4275,1.4455
4300,1.3557
4325,1.3104
4350,1.4453
4375,1.3458
4400,1.3982
4425,1.4194
4450,1.3431
4475,1.3785
4500,1.3417
4525,1.3074
4550,1.3827
4575,1.3678
4600,1.2848
4625,1.2727
4650,1.3961
4675,1.3827
4700,1.3065
4725,1.2887
4750,1.2687
4775,1.3364
4800,1.2006
4825,1.1968
4850,1.3527
4875,1.2957
4900,1.3467
4925,1.2536
4950,1.2994
4975,1.2864
5000,1.3297
5025,1.2562
5050,1.2219
5075,1.2169
5100,1.2866
5125,1.2085
5150,1.289
5175,1.2837
5200,1.1882
5225,1.1471
5250,1.2827
5275,1.1562
5300,1.1307
5325,1.1241
5350,1.2293
5375,1.1415
5400,1.1719
5425,1.1897
5450,1.1671
5475,1.1439
5500,1.107
5525,1.0664
5550,1.1093
5575,1.0989
5600,1.154
5625,1.1731
5650,1.2257
5675,1.2648
5700,1.0911
5725,1.096
5750,1.1044
5775,1.1198
5800,1.1055
5825,1.0247
5850,1.1048
5875,1.1057
5900,1.1547
5925,1.1905
5950,1.1716
5975,1.0594
6000,1.0459
6025,1.0407
6050,1.1247
6075,1.1677
6100,1.1461
6125,1.069
6150,1.1167
6175,1.1256
6200,1.0024
6225,1.0391
6250,1.157
6275,1.0771
6300,1.0044
6325,1.0375
6350,1.0587
6375,1.0486
6400,1.0596
6425,1.1138
6450,1.0329
6475,1.0532
6500,1.0008
6525,1.0269
6550,1.0936
6575,1.0783
6600,1.0435
6625,1.0236
6650,1.0772
6675,1.0149
6700,1.0055
6725,0.993
6750,1.062
6775,1.0492
6800,0.9594
6825,0.9004
6850,1.0594
6875,0.9576
6900,1.0442
6925,1.0245
6950,1.0338
6975,1.0598
7000,1.0548
